"time";"open";"high";"low";"close";"volume";"timestr"
"1772738700000";"24941,0";"24960,5";"24894,7";"24894,7";"2310";"2026-03-05 20:25:00"
"1772739000000";"24895,7";"24908,8";"24831,4";"24835,3";"2375";"2026-03-05 20:30:00"
"1772739300000";"24835,5";"24888,2";"24818,4";"24853,4";"2386";"2026-03-05 20:35:00"
"1772739600000";"24855,8";"24871,9";"24801,3";"24816,5";"2369";"2026-03-05 20:40:00"
"1772739900000";"24816,3";"24817,4";"24775,2";"24780,8";"2365";"2026-03-05 20:45:00"
"1772740200000";"24780,4";"24818,3";"24758,5";"24777,9";"2366";"2026-03-05 20:50:00"
"1772740500000";"24777,3";"24787,5";"24755,4";"24772,5";"2346";"2026-03-05 20:55:00"
"1772740800000";"24770,9";"24810,0";"24766,0";"24804,2";"2366";"2026-03-05 21:00:00"
"1772741100000";"24798,7";"24843,4";"24789,3";"24837,3";"2318";"2026-03-05 21:05:00"
"1772741400000";"24835,9";"24853,9";"24813,4";"24844,0";"2337";"2026-03-05 21:10:00"
"1772741700000";"24843,3";"24854,8";"24769,2";"24771,4";"2363";"2026-03-05 21:15:00"
"1772742000000";"24772,8";"24821,0";"24769,0";"24801,3";"2395";"2026-03-05 21:20:00"
"1772742300000";"24800,8";"24803,8";"24748,3";"24761,0";"2379";"2026-03-05 21:25:00"
"1772742600000";"24759,5";"24789,9";"24740,3";"24764,0";"2373";"2026-03-05 21:30:00"
"1772742900000";"24763,7";"24796,0";"24761,2";"24780,3";"2374";"2026-03-05 21:35:00"
"1772743200000";"24781,9";"24835,8";"24778,7";"24826,0";"2326";"2026-03-05 21:40:00"
"1772743500000";"24825,8";"24828,8";"24780,8";"24792,4";"2315";"2026-03-05 21:45:00"
"1772743800000";"24792,2";"24792,2";"24741,8";"24748,4";"2292";"2026-03-05 21:50:00"
"1772744100000";"24748,9";"24798,7";"24748,8";"24781,9";"2281";"2026-03-05 21:55:00"
"1772744400000";"24779,0";"24812,5";"24769,8";"24799,3";"2318";"2026-03-05 22:00:00"
"1772744700000";"24798,8";"24825,4";"24797,5";"24807,3";"2321";"2026-03-05 22:05:00"
"1772745000000";"24807,5";"24826,0";"24789,2";"24821,0";"2358";"2026-03-05 22:10:00"
"1772745300000";"24821,7";"24828,9";"24796,2";"24826,5";"2279";"2026-03-05 22:15:00"
"1772745600000";"24828,0";"24846,8";"24806,4";"24823,0";"2303";"2026-03-05 22:20:00"
"1772745900000";"24823,0";"24830,4";"24781,0";"24805,4";"2329";"2026-03-05 22:25:00"
"1772746200000";"24804,7";"24804,7";"24759,5";"24776,2";"2320";"2026-03-05 22:30:00"
"1772746500000";"24776,4";"24792,4";"24762,5";"24789,0";"2307";"2026-03-05 22:35:00"
"1772746800000";"24790,3";"24817,9";"24786,8";"24817,5";"2321";"2026-03-05 22:40:00"
"1772747100000";"24816,5";"24839,0";"24799,4";"24832,3";"2253";"2026-03-05 22:45:00"
"1772747400000";"24833,5";"24848,3";"24801,9";"24801,9";"2277";"2026-03-05 22:50:00"
"1772747700000";"24802,0";"24831,7";"24789,8";"24824,5";"2276";"2026-03-05 22:55:00"
"1772748000000";"24822,0";"24868,5";"24793,3";"24864,7";"2281";"2026-03-05 23:00:00"
"1772748300000";"24860,8";"24879,9";"24810,5";"24867,7";"2387";"2026-03-05 23:05:00"
"1772748600000";"24868,4";"24900,7";"24865,5";"24885,0";"2349";"2026-03-05 23:10:00"
"1772748900000";"24886,0";"24912,3";"24869,0";"24897,8";"2327";"2026-03-05 23:15:00"
"1772749200000";"24896,3";"24932,5";"24889,0";"24931,8";"2280";"2026-03-05 23:20:00"
"1772749500000";"24933,8";"24959,8";"24917,5";"24920,8";"2338";"2026-03-05 23:25:00"
"1772749800000";"24919,0";"24954,7";"24909,0";"24950,4";"2273";"2026-03-05 23:30:00"
"1772750100000";"24949,5";"24965,8";"24940,5";"24946,3";"2263";"2026-03-05 23:35:00"
"1772750400000";"24947,8";"24948,0";"24917,0";"24934,2";"2292";"2026-03-05 23:40:00"
"1772750700000";"24936,2";"24955,2";"24912,0";"24955,0";"2273";"2026-03-05 23:45:00"
"1772751000000";"24962,0";"24995,5";"24960,3";"24994,2";"2293";"2026-03-05 23:50:00"
"1772751300000";"24995,9";"25022,2";"24983,2";"25014,8";"2338";"2026-03-05 23:55:00"
"1772751600000";"25013,0";"25017,4";"24989,7";"25000,9";"1760";"2026-03-06 00:00:00"
"1772751900000";"25002,0";"25015,2";"24990,4";"25002,7";"1329";"2026-03-06 00:05:00"
"1772752200000";"25002,1";"25004,0";"24987,2";"24997,5";"1454";"2026-03-06 00:10:00"
"1772752500000";"24997,4";"25011,9";"24993,7";"24998,6";"1392";"2026-03-06 00:15:00"
"1772752800000";"24999,0";"25002,1";"24983,0";"24984,4";"1177";"2026-03-06 00:20:00"
"1772753100000";"24985,2";"24997,0";"24978,6";"24996,5";"1158";"2026-03-06 00:25:00"
"1772753400000";"24995,5";"24995,9";"24970,9";"24975,7";"1193";"2026-03-06 00:30:00"
"1772753700000";"24976,0";"24989,6";"24969,1";"24979,1";"1184";"2026-03-06 00:35:00"
