AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 09:30:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 08:37:03 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 09:35:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 08:42:07 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 09:40:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 08:47:11 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=SELL | godzina_brokera=2026-04-13 13:40:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 12:45:37 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=False; ADX_DEC=True; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=5.0
AUDYT_SYGNALU | produkt=US30 | event=OPEN_REQUEST_SENT_SELL | sygnal=SELL | godzina_brokera=2026-04-13 13:40:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 12:45:37 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=False; ADX_DEC=True; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=5.0
AUDYT_SYGNALU | produkt=US30 | event=MT5_OPEN_FAILED_SELL | sygnal=SELL | godzina_brokera=2026-04-13 13:40:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 12:45:37 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=False; ADX_DEC=True; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=5.0 | MT5_RESULT={'retcode': 10019, 'deal': 0, 'order': 0, 'volume': 0.0, 'price': 0.0, 'bid': 0.0, 'ask': 0.0, 'comment': 'No money', 'request_id': 0, 'retcode_external': 0, 'request': TradeRequest(action=1, magic=234567, order=0, symbol='US30', volume=0.1, price=47665.1, stoplimit=0.0, sl=47705.6, tp=47585.6, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='SC6', position=0, position_by=0)}
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 14:00:00 | scenariusz_otwarcia=SC1 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 13:05:56 | warunki=SC1 BUY (ADX+MCAD, strict) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=15.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_REQUEST_SENT_BUY | sygnal=BUY | godzina_brokera=2026-04-13 14:00:00 | scenariusz_otwarcia=SC1 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 13:05:56 | warunki=SC1 BUY (ADX+MCAD, strict) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=15.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=MT5_OPEN_FAILED_BUY | sygnal=BUY | godzina_brokera=2026-04-13 14:00:00 | scenariusz_otwarcia=SC1 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 13:05:57 | warunki=SC1 BUY (ADX+MCAD, strict) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=15.0; SELL_WINDOW_MIN=None | MT5_RESULT={'retcode': 10019, 'deal': 0, 'order': 0, 'volume': 0.0, 'price': 0.0, 'bid': 0.0, 'ask': 0.0, 'comment': 'No money', 'request_id': 0, 'retcode_external': 0, 'request': TradeRequest(action=1, magic=234567, order=0, symbol='US30', volume=0.1, price=47739.3, stoplimit=0.0, sl=47698.6, tp=47818.6, deviation=20, type=0, type_filling=1, type_time=0, expiration=0, comment='SC1', position=0, position_by=0)}
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=SELL | godzina_brokera=2026-04-13 14:45:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 13:51:41 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=True; ADX_DEC=False; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=25.0
AUDYT_SYGNALU | produkt=US30 | event=OPEN_REQUEST_SENT_SELL | sygnal=SELL | godzina_brokera=2026-04-13 14:45:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 13:51:41 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=True; ADX_DEC=False; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=25.0
AUDYT_SYGNALU | produkt=US30 | event=MT5_OPEN_FAILED_SELL | sygnal=SELL | godzina_brokera=2026-04-13 14:45:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 13:51:41 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=True; ADX_DEC=False; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=25.0 | MT5_RESULT={'retcode': 10019, 'deal': 0, 'order': 0, 'volume': 0.0, 'price': 0.0, 'bid': 0.0, 'ask': 0.0, 'comment': 'No money', 'request_id': 0, 'retcode_external': 0, 'request': TradeRequest(action=1, magic=234567, order=0, symbol='US30', volume=0.1, price=47449.6, stoplimit=0.0, sl=47499.1, tp=47379.1, deviation=20, type=1, type_filling=1, type_time=0, expiration=0, comment='SC6', position=0, position_by=0)}
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=SELL | godzina_brokera=2026-04-13 14:50:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 13:56:47 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=True; ADX_DEC=False; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=25.0
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=SELL | godzina_brokera=2026-04-13 14:55:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 14:01:52 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=True; ADX_DEC=False; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=25.0
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=SELL | godzina_brokera=2026-04-13 15:00:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 14:06:57 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=True; ADX_DEC=False; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=25.0
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=SELL | godzina_brokera=2026-04-13 15:05:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 14:12:02 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=True; ADX_DEC=False; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=25.0
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=SELL | godzina_brokera=2026-04-13 15:10:00 | scenariusz_otwarcia=SC6 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 14:17:07 | warunki=SC6 SELL (ICHI+ADX, medium) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=False; ADX_SELL=True; ADX_INC=True; ADX_DEC=False; MCAD_BUY=False; MCAD_SELL=True; MCAD_FRESH=True; ICHI_BUY=False; ICHI_SELL=True; BUY_WINDOW_MIN=None; SELL_WINDOW_MIN=25.0
