SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 03:45:22 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 04:40:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 03:50:27 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 04:45:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 03:55:32 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 04:50:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:00:37 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 04:55:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:05:41 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:00:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:10:46 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:05:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:15:50 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:10:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:20:55 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:15:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:25:59 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:20:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:31:03 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:25:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:36:08 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:30:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:41:12 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:35:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:46:17 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:40:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:51:23 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:45:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 04:56:27 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:50:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 05:01:31 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:55:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 05:06:36 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 06:00:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 06:50:39 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 07:45:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 07:46:29 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 08:40:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:06:49 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:00:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:11:54 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:05:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:17:01 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:10:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:22:06 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:15:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:27:10 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:20:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:32:15 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:25:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 08:37:19 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:30:00
