SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 04:16:05 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 05:10:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 04:21:10 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 05:15:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 04:26:15 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 05:20:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 08:50:10 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-15 09:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 08:55:16 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-15 09:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 09:00:21 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-15 09:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 10:21:53 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:15:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 10:27:00 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:20:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 10:32:05 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:25:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 10:37:12 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 10:42:39 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 10:45:13 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 10:50:19 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 10:55:25 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 11:00:31 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 11:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 11:05:37 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 12:00:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 11:10:41 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 12:05:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 11:15:46 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 12:10:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 11:21:03 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 12:15:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 11:26:10 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 12:20:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 11:31:18 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 12:25:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 11:36:25 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 12:30:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 11:41:30 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 12:35:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 11:46:35 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-15 12:40:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 13:51:02 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 14:45:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 13:56:08 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 14:50:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 14:01:13 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 14:55:00
SCENARIUSZ HIT | symbol=UK100 | data_godzina=2026-05-15 14:06:20 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-15 15:00:00
